Nama,Gambar,
Wisata Bahari ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/WisataBahari.jpg,
Nasi Kuning Saroja,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/NasKunSaroja.jpg,
Rumah Makan Dabu-Dabu Lemong,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/Dabu2Lemong.jpg,
Es Tjie Mei ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/EsTjieMei.jpg,
Rumah Makan Pondok Maengket Teterusan ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/PondokTeterusan.jpg,
Raja Sate BBQ & Asian Restaurant ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/RajaSate.jpg,
Soto Rusuk Ba Ko Petrus,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/KoPetrus.jpg,
 City Extra Manado ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/CityExtra.jpg,
 Ananas ,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/Ananas.jpg,
Kawasan Kuliner Wakeke,https://aplikasiwisata3siscer.000webhostapp.com/GambarKuliner/Wakeke.jpg,
 ,,
